https://www.CryptoDataDownload.com,,,,,,,,,
Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1.74718E+12,2025/5/14,ETHUSDT,2679.71,2725.99,2547.26,2609.74,830047.1122,2183890526,4181188
1.74709E+12,2025/5/13,ETHUSDT,2495.48,2738.5,2415.3,2679.71,1031355.647,2653880363,4666012
1.74701E+12,2025/5/12,ETHUSDT,2514.58,2624,2406.63,2495.47,1068680.943,2694150709,5441783
1.74692E+12,2025/5/11,ETHUSDT,2583.22,2608.13,2435.51,2514.57,831584.3888,2087255709,4340859
1.74684E+12,2025/5/10,ETHUSDT,2345.04,2600,2317,2583.23,979350.1606,2393510880,4862978
1.74675E+12,2025/5/9,ETHUSDT,2207.39,2490.77,2184.33,2345.04,1667041.038,3881949928,6885286
1.74666E+12,2025/5/8,ETHUSDT,1811.11,2226,1808.71,2207.39,1473152.686,2976074419,5616063
1.74658E+12,2025/5/7,ETHUSDT,1817,1850,1787.01,1811.11,456170.0705,831394497.7,2408512
1.74649E+12,2025/5/6,ETHUSDT,1820.19,1820.9,1752,1817,384584.2451,687049952.3,2333041
1.7464E+12,2025/5/5,ETHUSDT,1808.86,1833.55,1781.85,1820.19,342341.0078,619310042.7,1961255
1.74632E+12,2025/5/4,ETHUSDT,1833.52,1849.95,1803,1808.86,238254.3564,435999576.6,1443996
1.74623E+12,2025/5/3,ETHUSDT,1842.2,1848.6,1810,1833.52,213751.5979,391267436.3,1135719
1.74614E+12,2025/5/2,ETHUSDT,1838.1,1871,1813,1842.2,410667.875,755324594.3,2062923
1.74606E+12,2025/5/1,ETHUSDT,1793.62,1873.17,1792.52,1838.11,537198.7291,988206595.8,2398765
1.74597E+12,2025/4/30,ETHUSDT,1797.81,1816.8,1731.7,1793.61,473523.9877,843558998.3,2468998
1.74588E+12,2025/4/29,ETHUSDT,1799.88,1842.99,1780.47,1797.81,480456.3884,871685371.7,2590967
1.7458E+12,2025/4/28,ETHUSDT,1791.29,1827.98,1744.71,1799.88,587269.743,1049690759,2980656
1.74571E+12,2025/4/27,ETHUSDT,1820.87,1857.47,1781.9,1791.29,340332.6435,616122293.3,2405764
1.74563E+12,2025/4/26,ETHUSDT,1784.6,1841.16,1778.94,1820.88,355068.0442,640645562.9,1907298
1.74554E+12,2025/4/25,ETHUSDT,1769.64,1827.32,1738.6,1784.6,595610.8894,1063192910,2516748
1.74545E+12,2025/4/24,ETHUSDT,1795.08,1802.82,1722.9,1769.65,483465.0385,851507192,2225460
1.74537E+12,2025/4/23,ETHUSDT,1756.25,1834.86,1744.95,1795.07,887545.6316,1590311896,3346263
1.74528E+12,2025/4/22,ETHUSDT,1579.57,1778,1537.26,1756.26,1103036.959,1833852783,3841594
1.74519E+12,2025/4/21,ETHUSDT,1587.36,1658.75,1564.07,1579.57,691486.6667,1117358204,4257816
1.74511E+12,2025/4/20,ETHUSDT,1613.26,1619.19,1565.59,1587.36,276052.2306,438377496,1913811
1.74502E+12,2025/4/19,ETHUSDT,1588.6,1631.81,1585.01,1613.27,223096.3899,358254845.7,1762563
1.74493E+12,2025/4/18,ETHUSDT,1583.63,1600.64,1573.54,1588.6,200409.0359,317931022.8,889028
1.74485E+12,2025/4/17,ETHUSDT,1577.15,1616.96,1563.2,1583.62,449870.3628,716711483.1,1871114
1.74476E+12,2025/4/16,ETHUSDT,1588.77,1613.66,1538.07,1577.14,611387.8686,965271509.9,2645419
1.74468E+12,2025/4/15,ETHUSDT,1623.78,1661.21,1583.12,1588.78,476178.8915,774210116.7,2283302
1.74459E+12,2025/4/14,ETHUSDT,1597.76,1691.5,1595.56,1623.77,645930.1419,1062426757,2975844
1.7445E+12,2025/4/13,ETHUSDT,1644.19,1649.75,1562.01,1597.76,580136.6145,931598664.3,2597350
1.74442E+12,2025/4/12,ETHUSDT,1566.85,1669.59,1546.06,1644.18,501867.9033,813176435.3,2177800
1.74433E+12,2025/4/11,ETHUSDT,1522.24,1591.47,1504.63,1566.85,578484.3183,901210974.6,2547292
1.74424E+12,2025/4/10,ETHUSDT,1669.51,1669.85,1471.02,1522.25,911855.3934,1425649916,3007121
1.74416E+12,2025/4/9,ETHUSDT,1473.41,1689,1385.05,1669.51,1968530.914,2995077138,4723847
